web-scraper-order;web-scraper-start-url;chaussures_links;chaussures_links-href;type_chaussures;prix;adresse;image_lien-src
1707687156-756;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/baskets-stan-smith-4525906;Baskets Stan Smith;13 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4525906_uploaded_image1_1704321204.jpg
1707687164-757;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4525905;Chaussures homme;20 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687173-758;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4524057;Chaussures homme;20 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687187-759;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4524070;Chaussures homme;20 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687194-760;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4521652;Chaussures homme;13 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687201-761;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4521660;Chaussures homme;18 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687209-762;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4521662;Chaussures homme;13 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687216-763;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4521679;Chaussures homme;16 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687224-764;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4521683;Chaussures homme;13 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687232-765;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4518394;Chaussures homme;16 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687242-766;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4518399;Chaussures homme;20 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687259-767;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-4558560;Chaussures hommes;25 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687263-768;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4553096;Chaussures homme;20 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687270-769;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4553095;Chaussures homme;13 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687278-770;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4553104;Chaussures homme;25 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687285-771;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4553122;Chaussures homme;18 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687291-772;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4554902;Chaussures homme;16 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687297-773;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4554903;Chaussures  homme;20 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
1707687303-774;https://sn.coinafrique.com/categorie/chaussures-homme?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4554900;Chaussures homme;20 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg
