web-scraper-order;web-scraper-start-url;chaussures_links;chaussures_links-href;type_chaussures;prix;adresse;image_lien-src
1707674517-1;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016;Chaussures enfant;Prix sur demande;Guédiawaye, Dakar, Sénégal;https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png
1707674531-2;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022;Chaussures enfant;Prix sur demande;Guédiawaye, Dakar, Sénégal;https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png
1707674551-3;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-781661;Claquettes  enfants;Prix sur demande;Sénégal;https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg
1707674572-4;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792038;Chaussures enfant;Prix sur demande;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674586-5;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792041;Chaussures enfant;Prix sur demande;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674667-6;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792044;Chaussures enfant;Prix sur demande;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674686-7;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792099;Chaussures enfant;Prix sur demande;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674719-8;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792468;Chaussures enfant;4 000 CFA;Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674737-9;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-796879;Chaussures enfant;Prix sur demande;Fann, Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674751-10;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796881;Chaussures enfants;Prix sur demande;Fann, Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674763-11;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796883;Chaussures enfants;Prix sur demande;Fann, Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674771-12;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-mocassins-enfant-797188;Chaussures mocassins enfant;Prix sur demande;Les Parcelles Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg
1707674796-13;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799181;Chaussures enfant;Prix sur demande;Petit-Mbao, Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674806-14;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799556;Chaussures enfant;Prix sur demande;Biscuiterie, Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674820-15;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/talons-fillette-801320;Talons fillette;Prix sur demande;Sénégal;https://images.coinafrique.com/thumb_801336_uploaded_image1_1564654599.57.png
1707674832-16;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-talons-fillette-801329;Chaussures talons fillette;Prix sur demande;Sénégal;https://images.coinafrique.com/thumb_801329_uploaded_image1_1564654543.94.png
1707674844-17;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/talons-rases-801336;Talons rasés;Prix sur demande;Sénégal;
1707674859-18;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-811210;Chaussures enfants;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
1707674872-19;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813196;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707674882-20;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813203;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707674898-21;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813206;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707674908-22;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813210;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707674918-23;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813213;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707674934-24;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813222;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707674944-25;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813226;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707674959-26;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813228;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707674976-27;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813230;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707674991-28;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813239;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
1707675000-29;https://sn.coinafrique.com/categorie/chaussures-enfants?page=7;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813272;Chaussures enfant;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
